bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy
Ancient Rites,www.ancientrites.be/,70000tons.com/wp-content/uploads/2015/06/ancientrites_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Ancient%20Rites,http://www.metal-archives.com/search?searchString=Ancient%20Rites&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Ancient%20Rites,Belgium,Black Metal Folk/Viking Metal,
At The Gates,atthegates.se/,70000tons.com/wp-content/uploads/2015/06/atthegates_hover.png,https://www.youtube.com/results?search_query=official+music%20video+At%20The%20Gates,http://www.metal-archives.com/search?searchString=At%20The%20Gates&type=band_name,https://en.wikipedia.org/wiki/At_the_Gates,Sweden,Melodic Death Metal,
Aura Noir,https://www.facebook.com/auranoirofficial/,70000tons.com/wp-content/uploads/2015/07/auranoir_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Aura%20Noir,http://www.metal-archives.com/search?searchString=Aura%20Noir&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Aura%20Noir,Norway,Black/Thrash Metal,
Belphegor,www.belphegor.at/,70000tons.com/wp-content/uploads/2015/08/belphegor_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Belphegor,http://www.metal-archives.com/search?searchString=Belphegor&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Belphegor,Austria,Death/Black Metal,
Bloodbath,bloodbath.biz/,70000tons.com/wp-content/uploads/2015/10/bloodbath_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Bloodbath,http://www.metal-archives.com/search?searchString=Bloodbath&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Bloodbath,Sweden,Death Metal,
Carach Angren,www.carach-angren.nl/,70000tons.com/wp-content/uploads/2015/07/carach_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Carach%20Angren,http://www.metal-archives.com/search?searchString=Carach%20Angren&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Carach%20Angren,Netherlands,Symphonic Black Metal,
Cradle Of Filth,www.cradleoffilth.com/,70000tons.com/wp-content/uploads/2015/07/cradleoffilth_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Cradle%20Of%20Filth,http://www.metal-archives.com/search?searchString=Cradle%20Of%20Filth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cradle%20Of%20Filth,United Kingdom,Extreme Gothic Metal/Symphoic Black Metal,
Delain,www.delain.nl/,70000tons.com/wp-content/uploads/2015/06/delain_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Delain,http://www.metal-archives.com/search?searchString=Delain&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Delain,Netherlands,Melodic/Symphonic Metal,
Dragonforce,www.dragonforce.com/,70000tons.com/wp-content/uploads/2015/06/dragonforce_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Dragonforce,http://www.metal-archives.com/search?searchString=Dragonforce&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dragonforce,United Kingdom,Power Metal,
Epica,epica.nl/,70000tons.com/wp-content/uploads/2015/07/epica_hover.png,https://www.youtube.com/results?search_query=official+music%20video+Epica,http://www.metal-archives.com/search?searchString=Epica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Epica,Netherlands,Symphonic/Power Metal,
