bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Angra,angra.net/,70000tons.com/wp-content/uploads/2023/05/01_jlkdsakdsakjdsa.png,https://www.youtube.com/results?search_query=official+music%20video+Angra,http://www.metal-archives.com/search?searchString=Angra&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Angra,Brazil,Power Metal,Live Video Shoot,2017 2013
Unleashed,www.unleashed.se/website/index.php,70000tons.com/wp-content/uploads/2023/05/02_iukhulkjfdjfljfd.png,https://www.youtube.com/results?search_query=official+music%20video+Unleashed,http://www.metal-archives.com/search?searchString=Unleashed&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Unleashed,Sweden,Death Metal,,2017 2011
Epica,www.epica.nl/home,70000tons.com/wp-content/uploads/2023/05/03_lisdjvjnrwlujf.png,https://www.youtube.com/results?search_query=official+music%20video+Epica,http://www.metal-archives.com/search?searchString=Epica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Epica,Netherlands,Symphonic Metal,,2020 2016 2011
Equilibrium,equilibrium-metal.net/en/,70000tons.com/wp-content/uploads/2023/05/04_ouo238hskdsv.png,https://www.youtube.com/results?search_query=official+music%20video+Renegades+Equilibrium,https://www.metal-archives.com/bands/Equilibrium/11613,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Equilibrium,Germany,Epic Folk Metal,,2017 2015
Nervosa,www.nervosaofficial.com/,70000tons.com/wp-content/uploads/2023/05/06_kaslijdsajajdiwlijdwa.png,https://www.youtube.com/results?search_query=official+music%20video+Nervosa,http://www.metal-archives.com/search?searchString=Nervosa&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nervosa,Brazil,Thrash Metal,,2016
Warkings,www.warkings.rocks/,70000tons.com/wp-content/uploads/2023/05/07_97vf98fd6tvf88.png,https://www.youtube.com/results?search_query=official+music%20video+Warkings+Morgana,https://www.metal-archives.com/bands/Warkings/3540447358,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Warkings,Germany-Austria-Switzerland,Power Metal,,Never
Aborted,goremageddon.be/,70000tons.com/wp-content/uploads/2023/05/08_3edv9ij4rtyui.png,https://www.youtube.com/results?search_query=official+music%20video+Aborted+Maniacult,https://www.metal-archives.com/bands/Aborted/213,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Aborted,Belgium,Death Metal,New Album Premiere ,2020 2018
Lord of the Lost,www.lordofthelost.de/,70000tons.com/wp-content/uploads/2023/05/09_lasdkjlwiannvv.png,https://www.youtube.com/results?search_query=official+music%20video+Lord%20of%20the%20Lost,http://www.metal-archives.com/search?searchString=Lord%20of%20the%20Lost&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lord%20of%20the%20Lost,Germany,Gothic Metal,,Never
Nanowar Of Steel,www.nanowar.it/,70000tons.com/wp-content/uploads/2023/05/11_nanoad9ajlilfj3ifjiawff.png,https://www.youtube.com/results?search_query=official+music%20video+Nanowar%20Of%20Steel,http://www.metal-archives.com/search?searchString=Nanowar%20Of%20Steel&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nanowar%20Of%20Steel,Italy,Power Metal-Rock,,Never
Crypta,www.cryptaofficial.com/,70000tons.com/wp-content/uploads/2023/05/12_eiqjufewoij.png,https://www.youtube.com/results?search_query=official+music%20video+Crypta,https://www.metal-archives.com/bands/Crypta/3540486250,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Crypta,Brazil,Death Metal,,Never
Blood Red Throne,www.bloodredthrone.com/,70000tons.com/wp-content/uploads/2023/05/14_aoijqo3blood.png,https://www.youtube.com/results?search_query=official+music%20video+Blood%20red%20Throne,http://www.metal-archives.com/search?searchString=Blood%20red%20Throne&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Blood%20red%20Throne,Norway,Death Metal,,2019
