bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,country,genre,noteworthy
3 Inches Of Blood,www.facebook.com/threeinchesofblood/,70000tons.com/images/artists2013/3IOB-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+3%20Inches%20Of%20Blood,http://www.metal-archives.com/search?searchString=3%20Inches%20Of%20Blood&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:3%20Inches%20Of%20Blood,Canada,Power/Heavy Metal,
Anaal Nathrakh,www.facebook.com/Anaalnathrakhofficial/,70000tons.com/images/artists2013/Anaal-Nathrakh-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Anaal%20Nathrakh,http://www.metal-archives.com/search?searchString=Anaal%20Nathrakh&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Anaal%20Nathrakh,United Kingdom,Industrial Black Metal/Grindcore,
Anacrusis,anacrusis.us/,70000tons.com/images/artists2013/Anacrusis-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Anacrusis,http://www.metal-archives.com/search?searchString=Anacrusis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Anacrusis,United States,Progressive Metal ,
Angra,www.angra.net/,70000tons.com/images/artists2013/Angra-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Angra,http://www.metal-archives.com/search?searchString=Angra&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Angra,Brazil,Power/Progressive Metal,
Arkona,www.arkona-russia.com/,70000tons.com/images/artists2013/Arkona-Logo-Chrome-Web90.png,https://www.youtube.com/results?search_query=official+music%20video+Arkona,http://www.metal-archives.com/search?searchString=Arkona&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arkona,Russia,Pagan/Folk/Black Metal,
Cryptopsy,cryptopsy.ca/,70000tons.com/images/artists2013/Cryptopsy-Logo-Chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Cryptopsy,http://www.metal-archives.com/search?searchString=Cryptopsy&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cryptopsy,Canada,Brutal/Technical Death Metal,
Delain,delain.nl/,70000tons.com/images/artists2013/Delain-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Delain,http://www.metal-archives.com/search?searchString=Delain&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Delain,Netherlands,Symphonic Metal,
Die Apokalyptischen Reiter,www.reitermania.de/,70000tons.com/images/artists2013/DAR-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Die%20Apokalyptischen%20Reiter,http://www.metal-archives.com/search?searchString=Die%20Apokalyptischen%20Reiter&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Die%20Apokalyptischen%20Reiter,Germany,Heavy Metal/Hard Rock,
Doro,www.doromusic.de/,70000tons.com/images/artists2013/doro-logo-chrome-web90.png,https://www.youtube.com/results?search_query=official+music%20video+Doro,http://www.metal-archives.com/search?searchString=Doro&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Doro,Germany,Heavy Metal,
DragonForce,www.dragonforce.com/,70000tons.com/images/artists2013/DragonforceLogoChromeWeb90.png,https://www.youtube.com/results?search_query=official+music%20video+DragonForce,http://www.metal-archives.com/search?searchString=DragonForce&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DragonForce,United Kingdom,Power Metal,
