bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia
Abinchova,www.abinchova.ch/,70000tons.com/wp-content/uploads/2015/12/ABINCHOVA-LOGO-WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Abinchova,http://www.metal-archives.com/search?searchString=Abinchova&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Abinchova
Ancient Rites,www.ancientrites.be/,70000tons.com/wp-content/uploads/2015/06/ancientrites.png,https://www.youtube.com/results?search_query=official+music%20video+Ancient%20Rites,http://www.metal-archives.com/search?searchString=Ancient%20Rites&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Ancient%20Rites
Arkona,www.arkona-russia.com/,70000tons.com/wp-content/uploads/2016/01/ARKONA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Arkona,http://www.metal-archives.com/search?searchString=Arkona&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Arkona
At The Gates,atthegates.se/,70000tons.com/wp-content/uploads/2015/06/atthegates.png,https://www.youtube.com/results?search_query=official+music%20video+At%20The%20Gates,http://www.metal-archives.com/search?searchString=At%20The%20Gates&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:At%20The%20Gates
Aura Noir,www.facebook.com/auranoirofficial/,70000tons.com/wp-content/uploads/2015/07/auranoir.png,https://www.youtube.com/results?search_query=official+music%20video+Aura%20Noir,http://www.metal-archives.com/search?searchString=Aura%20Noir&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Aura%20Noir
Belphegor,www.belphegor.at/,70000tons.com/wp-content/uploads/2015/08/belphegor.png,https://www.youtube.com/results?search_query=official+music%20video+Belphegor,http://www.metal-archives.com/search?searchString=Belphegor&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Belphegor
Bloodbath,bloodbath.biz/,70000tons.com/wp-content/uploads/2018/10/66999BLOODBATH_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Bloodbath,http://www.metal-archives.com/search?searchString=Bloodbath&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Bloodbath
Carach Angren,www.carach-angren.nl/,70000tons.com/wp-content/uploads/2015/07/carach.png,https://www.youtube.com/results?search_query=official+music%20video+Carach%20Angren,http://www.metal-archives.com/search?searchString=Carach%20Angren&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Carach%20Angren
Children Of Bodom,www.cobhc.com/,70000tons.com/wp-content/uploads/2015/06/childrenofbodom.png,https://www.youtube.com/results?search_query=official+music%20video+Children%20Of%20Bodom,http://www.metal-archives.com/search?searchString=Children%20Of%20Bodom&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Children%20Of%20Bodom
Cradle Of Filth,www.cradleoffilth.com/,70000tons.com/wp-content/uploads/2015/07/cradleoffilth.png,https://www.youtube.com/results?search_query=official+music%20video+Cradle%20Of%20Filth,http://www.metal-archives.com/search?searchString=Cradle%20Of%20Filth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cradle%20Of%20Filth
Dead Cross,www.facebook.com/Dead-Cross-1525248971130443/,70000tons.com/wp-content/uploads/2016/01/DEAD_CROSS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+DEAD%20CROSS,http://www.metal-archives.com/search?searchString=DEAD%20CROSS&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DEAD%20CROSS
Dia De Los Muertos,www.ddlm.net/,70000tons.com/wp-content/uploads/2016/01/DIA-DE-LOS-MUERTES_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+DIA%20DE%20LOS%20MUERTOS,http://www.metal-archives.com/search?searchString=DIA%20DE%20LOS%20MUERTOS&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DIA%20DE%20LOS%20MUERTOS
Distillator,distillator.eu/,70000tons.com/wp-content/uploads/2016/01/DISTILLATOR_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+DISTILLATOR,http://www.metal-archives.com/search?searchString=DISTILLATOR&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:DISTILLATOR
Delain,www.delain.nl/,70000tons.com/wp-content/uploads/2015/06/delain.png,https://www.youtube.com/results?search_query=official+music%20video+Delain,http://www.metal-archives.com/search?searchString=Delain&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Delain
Diamond Head,www.diamondheadofficial.com/,70000tons.com/wp-content/uploads/2016/02/DIAMOND_HEAD_LOGO_WEB_HOVER.png,https://www.youtube.com/results?search_query=official+music%20video+Diamond%20Head,http://www.metal-archives.com/search?searchString=Diamond%20Head&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Diamond%20Head
Dragonforce,www.dragonforce.com/,70000tons.com/wp-content/uploads/2015/06/dragonforce.png,https://www.youtube.com/results?search_query=official+music%20video+Dragonforce,http://www.metal-archives.com/search?searchString=Dragonforce&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dragonforce
Eluveitie,eluveitie.ch/,70000tons.com/wp-content/uploads/2015/12/eluveitie-logo-web.png,https://www.youtube.com/results?search_query=official+music%20video+Eluveitie,http://www.metal-archives.com/search?searchString=Eluveitie&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Eluveitie
Epica,epica.nl/,70000tons.com/wp-content/uploads/2015/07/epica.png,https://www.youtube.com/results?search_query=official+music%20video+Epica,http://www.metal-archives.com/search?searchString=Epica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Epica
Fallujah,www.facebook.com/fallujahofficial/,70000tons.com/wp-content/uploads/2016/01/FALLUJAH_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Fallujah,http://www.metal-archives.com/search?searchString=Fallujah&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fallujah
Firewind,www.firewind.gr/,70000tons.com/wp-content/uploads/2015/06/firewind.png,https://www.youtube.com/results?search_query=official+music%20video+Firewind,http://www.metal-archives.com/search?searchString=Firewind&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Firewind
Fleshgod Apocalypse,www.fleshgodapocalypse.com/,70000tons.com/wp-content/uploads/2015/06/fleshgod.png,https://www.youtube.com/results?search_query=official+music%20video+Fleshgod%20Apocalypse,http://www.metal-archives.com/search?searchString=Fleshgod%20Apocalypse&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Fleshgod%20Apocalypse
Gamma Ray,www.gammaray.org/,70000tons.com/wp-content/uploads/2015/08/gammaray.png,https://www.youtube.com/results?search_query=official+music%20video+Gamma%20Ray,http://www.metal-archives.com/search?searchString=Gamma%20Ray&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gamma%20Ray
Ghoul,www.creepsylvania.com/,70000tons.com/wp-content/uploads/2016/01/GHOUL_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Ghoul,http://www.metal-archives.com/search?searchString=Ghoul&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Ghoul
Hammerfall,www.hammerfall.net/,70000tons.com/wp-content/uploads/2015/07/HAMMERFALL_web.png,https://www.youtube.com/results?search_query=official+music%20video+Hammerfall,http://www.metal-archives.com/search?searchString=Hammerfall&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Hammerfall
Holy Moses,www.holymoses.net/,70000tons.com/wp-content/uploads/2015/07/holymoses.png,https://www.youtube.com/results?search_query=official+music%20video+Holy%20Moses,http://www.metal-archives.com/search?searchString=Holy%20Moses&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Holy%20Moses
Iced Earth,www.icedearth.com/,70000tons.com/wp-content/uploads/2015/06/icedearth.png,https://www.youtube.com/results?search_query=official+music%20video+Iced%20Earth,http://www.metal-archives.com/search?searchString=Iced%20Earth&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Iced%20Earth
Incantation,www.incantation.com/,70000tons.com/wp-content/uploads/2016/01/INCANTATION_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Incantation,http://www.metal-archives.com/search?searchString=Incantation&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Incantation
Insomnium,www.insomnium.net/,70000tons.com/wp-content/uploads/2015/07/Insomnium.png,https://www.youtube.com/results?search_query=official+music%20video+Insomnium,http://www.metal-archives.com/search?searchString=Insomnium&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Insomnium
Jag Panzer,www.jagpanzer.com/,70000tons.com/wp-content/uploads/2015/10/jagpanzer.png,https://www.youtube.com/results?search_query=official+music%20video+Jag%20Panzer,http://www.metal-archives.com/search?searchString=Jag%20Panzer&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Jag%20Panzer
Koyi K Utho,www.facebook.com/koyikutho.oficial/,70000tons.com/wp-content/uploads/2016/01/KOYI_K_UTHO_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+KOYI%20K%20UTHO,http://www.metal-archives.com/search?searchString=KOYI%20K%20UTHO&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:KOYI%20K%20UTHO
Katatonia,katatonia.com/,70000tons.com/wp-content/uploads/2015/10/katatonia.png,https://www.youtube.com/results?search_query=official+music%20video+Katatonia,http://www.metal-archives.com/search?searchString=Katatonia&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Katatonia
Krisiun,www.krisiun.com.br/,70000tons.com/wp-content/uploads/2015/10/krisiun.png,https://www.youtube.com/results?search_query=official+music%20video+Krisiun,http://www.metal-archives.com/search?searchString=Krisiun&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Krisiun
Lacuna Coil,www.lacunacoil.it/,70000tons.com/wp-content/uploads/2015/06/lacunacoil.png,https://www.youtube.com/results?search_query=official+music%20video+Lacuna%20Coil,http://www.metal-archives.com/search?searchString=Lacuna%20Coil&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Lacuna%20Coil
Manilla Road,www.manillaroad.net/,70000tons.com/wp-content/uploads/2015/08/manillaroad.png,https://www.youtube.com/results?search_query=official+music%20video+Manilla%20Road,http://www.metal-archives.com/search?searchString=Manilla%20Road&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Manilla%20Road
Moonspell,moonspell.com,70000tons.com/wp-content/uploads/2015/06/moonspell.png,https://www.youtube.com/results?search_query=official+music%20video+Moonspell,http://www.metal-archives.com/search?searchString=Moonspell&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Moonspell
My Dying Bride,www.mydyingbride.net/,70000tons.com/wp-content/uploads/2015/06/mydyingbride.png,https://www.youtube.com/results?search_query=official+music%20video+My%20Dying%20Bride,http://www.metal-archives.com/search?searchString=My%20Dying%20Bride&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:My%20Dying%20Bride
Nervosa,www.facebook.com/nervosa,70000tons.com/wp-content/uploads/2016/01/NERVOSA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Nervosa,http://www.metal-archives.com/search?searchString=Nervosa&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Nervosa
