bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Emperor,www.emperorhorde.com/,70000tons.com/wp-content/uploads/2024/04/01_EMPEROR.png,https://www.youtube.com/results?search_query=official+music%20video+EMPEROR,http://www.metal-archives.com/search?searchString=EMPEROR&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:EMPEROR,Norway,Symphonic Black Metal,,2020
Stratovarius,stratovarius.com/,70000tons.com/wp-content/uploads/2024/04/02_STRATOVARIUS.png,https://www.youtube.com/results?search_query=official+music%20video+STRATOVARIUS,http://www.metal-archives.com/search?searchString=STRATOVARIUS&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:STRATOVARIUS,Finland,Melodic Power Metal,,2016 2012
Candlemass,www.candlemass.se/,70000tons.com/wp-content/uploads/2024/04/03_CANDLEMASS-1.png,https://www.youtube.com/results?search_query=official+music%20video+CANDLEMASS,http://www.metal-archives.com/search?searchString=CANDLEMASS&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:CANDLEMASS,Sweden,Epic Doom Metal,,2020 2012
Tankard,www.tankard.info/,70000tons.com/wp-content/uploads/2024/04/04_TANKARD-1.png,https://www.youtube.com/results?search_query=official+music%20video+Tankard,http://www.metal-archives.com/search?searchString=Tankard&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Tankard,Germany,Thrash Metal,,2012
The Kovenant,www.facebook.com/profile.php?id=100063674681395,70000tons.com/wp-content/uploads/2024/04/05_THEKOVENANT-1.png,https://www.youtube.com/results?search_query=official+music%20video+The%20KOVENANT,http://www.metal-archives.com/search?searchString=The%20KOVENANT&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:The%20KOVENANT,Norway,Electronic/Industrial/Gothic,,Never
Kalmah,www.kalmah.com/,70000tons.com/wp-content/uploads/2024/04/06_KALMAH.png,https://www.youtube.com/results?search_query=official+music%20video+Kalmah,http://www.metal-archives.com/search?searchString=Kalmah&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Kalmah,Finland,Melodic Death-Power Metal,,2019 2017
Flotsam And Jetsam,www.flotstildeath.com/,70000tons.com/wp-content/uploads/2024/04/FLOTSAM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Flotsam%20And%20Jetsam,http://www.metal-archives.com/search?searchString=Flotsam%20And%20Jetsam&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Flotsam%20And%20Jetsam,United States,Power-Thrash Metal,,2020 2013
Benighted,www.benighted.fr/,70000tons.com/wp-content/uploads/2024/04/BENIGHTED_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Benighted,http://www.metal-archives.com/search?searchString=Benighted&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Benighted,France,Brutal Death Metal/Grindcore,,2018
Majestica,majesticametal.com/,70000tons.com/wp-content/uploads/2024/04/MAJESTICA_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Majestica,http://www.metal-archives.com/search?searchString=Majestica&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Majestica,Sweden,Symphonic Power Metal,,Never
In Extremo,www.inextremo.de/en/,70000tons.com/wp-content/uploads/2024/04/INEXTREMO_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+In%20Extremo,http://www.metal-archives.com/search?searchString=In%20Extremo&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:In%20Extremo,Germany,Folk Metal,30th Anniversary Shows,2018 2015 2012
