Band,Location,Date,Day,Start Time,End Time,Type,Notes,Confirm
Exhumed,Lounge,7/05/2018,Day 1,17:15,18:00,Show,
Primal Fear,Rink,7/05/2018,Day 1,17:15,18:00,Show,
Leaves Eyes,Theater,7/05/2018,Day 1,18:00,18:45,Show,
Destruction,Rink,7/05/2018,Day 1,18:45,19:30,Show,
Triosphere,Lounge,7/05/2018,Day 1,18:45,19:30,Show,
Swallow The Sun,Theater,7/05/2018,Day 1,19:30,20:30,Show,
Insomnium,Rink,7/05/2018,Day 1,20:30,21:15,Show,
Psychostick,Lounge,7/05/2018,Day 1,20:15,21:00,Show,
Rhapsody Reunion,Theater,7/05/2018,Day 1,21:15,22:45,Show,
Enslaved,Rink,7/05/2018,Day 1,22:45,23:15,Show,
Metsatoll,Lounge,7/05/2018,Day 1,21:45,22:30,Show,
Kreator,Theater,7/05/2018,Day 1,23:15,00:30,Show,
Kataklysm,Rink,7/06/2018,Day 1,00:15,01:15,Show,
Witchery,Lounge,7/06/2018,Day 1,00:45,01:30,Show,
In Extremo,Theater,7/06/2018,Day 1,01:15,02:15,Show,
Belphegor,Rink,7/06/2018,Day 1,02:15,03:00,Show,
Evertale,Lounge,7/06/2018,Day 1,02:15,03:00,Show,
Amberian Dawn,Theater,7/06/2018,Day 1,03:00,03:45,Show,
Goatwhore,Rink,7/06/2018,Day 1,03:45,04:30,Show,
Seven Spires,Theater,7/06/2018,Day 1,04:30,05:15,Show,
Revenge,Rink,7/06/2018,Day 1,05:15,06:00,Show,
Karaoke,Labyrinth,7/06/2018,Day 1,00:00,06:00,Special Event,
Masterplan,Pool,7/06/2018,Day 2,10:00,10:45,Show,
Benediction,Pool,7/06/2018,Day 2,11:30,12:15,Show,
Alestorm,Pool,7/06/2018,Day 2,13:00,13:45,Show,
Swallow The Sun,Pool,7/06/2018,Day 2,14:30,15:30,Show,
Korpiklaani,Pool,7/06/2018,Day 2,16:15,17:15,Show,
Evergrey,Pool,7/06/2018,Day 2,18:00,19:23:00,Show,
Cannibal Corpse,Pool,7/06/2018,Day 2,19:45,20:45,Show,
Sabaton,Pool,7/06/2018,Day 2,21:45,23:00,Show,
Dark Tranquillity,Pool,7/07/2018,Day 2,00:00,01:00,Show,
Samael,Pool,7/07/2018,Day 2,01:45,02:30,Show,
Aborted,Pool,7/07/2018,Day 2,03:15,04:00,Show,
Battle Beast,Pool,7/07/2018,Day 2,04:45,05:30,Show,
Necrophobic,Theater,7/06/2018,Day 2,10:45,11:30,Show,
In Mourning,Theater,7/06/2018,Day 2,12:15,13:00,Show,
Sirenia,Theater,7/06/2018,Day 2,13:45,14:30,Show,
Metal Church,Theater,7/06/2018,Day 2,15:15,16:15,Show,
Exodus,Theater,7/06/2018,Day 2,17:00,18:00,Show,
Sonata Arctica,Theater,7/06/2018,Day 2,18:45,19:45,Show,
Sepultura,Theater,7/06/2018,Day 2,20:45,21:45,Show,
Meshuggah,Theater,7/06/2018,Day 2,23:00,00:15,Show,
Voivod,Theater,7/07/2018,Day 2,01:00,01:45,Show,
Witherfall,Theater,7/07/2018,Day 2,02:30,03:15,Show,
Wolfchant,Rink,7/06/2018,Day 2,11:30,12:15,Show,
Gyze,Rink,7/06/2018,Day 2,13:00,13:45,Show,
Naglfar,Rink,7/06/2018,Day 2,14:45,15:30,Show,
Threshold,Rink,7/06/2018,Day 2,16:15,17:00,Show,
