Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Sun - Metal Beach Yoga,Miami Beach,01/28/2024,1/28,11:00,12:00,Unofficial Event,,,https://www.dropbox.com/s/d3pf3cuzilrgv0v/Sun_Beach_Yoga.png?raw=1
Sun - Beach Party,Miami Beach,01/28/2024,1/28,12:00,18:00,Unofficial Event,,,https://www.dropbox.com/s/94x7hvbqmo1idlj/Sun_Miami_Beach_Party.png?raw=1
Sun - Live Band Karaoke,Clevelander Bar,01/28/2024,1/28,18:00,03:00,Unofficial Event,,,https://www.dropbox.com/s/4rdctpv1vnrpwgi/Sun_Miami_Karaoke.png?raw=1
Sat - Metal Beach Bash,Clevelander Bar,01/27/2024,1/27,18:00,03:00,Unofficial Event,,,https://www.dropbox.com/s/g50ltfg6bmyjpxe/Sat_Miami_Party.png?raw=1
Fri - Roof-Top Party,Clevelander Hotel,01/26/2024,1/26,18:00,03:00,Unofficial Event,,,https://www.dropbox.com/s/303mltgm6wocouk/Friday_Miami_Party.png?raw=1
Sun - Beach Photo,Miami Beach,01/28/2024,1/28,17:00,18:00,Unofficial Event,,,https://www.dropbox.com/s/94x7hvbqmo1idlj/Sun_Miami_Beach_Party.png?raw=1
Sat - Hollywood Party,Hollywood Brewery,01/27/2024,1/27,19:00,02:00,Unofficial Event,,,https://www.dropbox.com/s/dlt3x0o9i1k6a8v/HollywoodBeachParty.png?raw=1
Fri - Post Cruise Party,Hollywood Brewery,02/02/2024,2/2,19:00,02:00,Unofficial Event,,,https://www.dropbox.com/s/fu3m33aqgvwbv84/afterParty.png?raw=1
LGBTQ+ Meetup,Bull & Bear Pub,1/30/2024,Day 2,20:00,22:00,Special Event,,,https://www.dropbox.com/scl/fi/ft1eezuwoudjdzdkzhrtl/lgbtMeetUp.jpg?rlkey=74ovhbcspx99ur2j4qy7cgg2z&raw=1
Equilibrium,Theater,1/29/2024,Day 1,18:00,18:45,Show, , , 
Kataklysm,Theater,1/29/2024,Day 1,19:30,20:30,Show, ,Serenity In Fire, 
The Halo Effect,Theater,1/29/2024,Day 1,21:15,22:15,Show, , , 
Blind Guardian,Theater,1/29/2024,Day 1,23:15,00:30,Show, , , 
Leaves Eyes,Theater,1/30/2024,Day 1,01:30,02:15,Show, , , 
Dalriada,Theater,1/30/2024,Day 1,03:00,03:45,Show, , , 
Vision Divine,Theater,1/30/2024,Day 1,04:30,05:15,Show, , , 
Heidevolk,Rink,1/29/2024,Day 1,17:15,18:00,Show, , , 
Waltari,Rink,1/29/2024,Day 1,18:45,19:30,Show, ,Torcha! & So Fine! Set, 
Einherjer,Rink,1/29/2024,Day 1,20:15,21:00,Show, ,Epic Deep Cut set, 
Warkings,Rink,1/29/2024,Day 1,21:45,22:30,Show, , , 
