Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Soilwork,Theater,01/27/2014,Day 1,18:00,19:00,Show, , , 
Overkill,Theater,01/27/2014,Day 1,19:45,20:45,Show, , , 
Symphony X,Theater,01/27/2014,Day 1,21:30,22:45,Show, , , 
Obituary,Theater,01/27/2014,Day 1,23:30,00:30,Show, , , 
Vicious Rumors,Theater,01/28/2014,Day 1,01:30,02:15,Show, ,Digital Dictators Set, 
Finntroll,Pool,01/28/2014,Day 1,00:30,01:30,Show, , , 
Twilight Of The Gods,Pool,01/28/2014,Day 1,02:15,03:15,Show, , , 
Gloryhammer,Pool,01/28/2014,Day 1,04:00,04:45,Show, , , 
Swashbuckle,Lounge,01/27/2014,Day 1,17:30,18:15,Show, , , 
Atrocity,Lounge,01/27/2014,Day 1,19:00,19:45,Show, , , 
Cynic,Lounge,01/27/2014,Day 1,20:45,21:30,Show, , , 
Raven,Lounge,01/27/2014,Day 1,22:45,23:30,Show, , , 
Xandria,Lounge,01/28/2014,Day 1,00:15,01:00,Show, , , 
Nekrogoblikon,Lounge,01/28/2014,Day 1,01:45,02:30,Show, , , 
Hatesphere,Lounge,01/28/2014,Day 1,03:15,04:00,Show, , , 
Karaoke,Boleros Lounge,01/28/2014,Day 1,00:00,06:00,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Septicflesh,Theater,01/28/2014,Day 1,16:45,17:30,Show, , , 
Orphaned Land,Theater,01/28/2014,Day 1,18:30,19:30,Show, , , 
Satyricon,Theater,01/28/2014,Day 1,20:30,21:30,Show, , , 
Carcass,Theater,01/28/2014,Day 1,22:45,00:00,Show, , , 
Death To All,Theater,01/29/2014,Day 1,01:00,02:00,Show, , , 
Poltergeist,Pool,01/28/2014,Day 1,10:00,10:45,Show, , , 
Swallow The Sun,Pool,01/28/2014,Day 1,11:30,12:15,Show, , , 
Bonfire,Pool,01/28/2014,Day 1,13:00,13:45,Show, , , 
Pungent Stench,Pool,01/28/2014,Day 1,16:00,16:45,Show, , , 
The Haunted,Pool,01/28/2014,Day 1,17:30,18:30,Show, , , 
Dark Tranquillity,Pool,01/28/2014,Day 1,19:30,20:30,Show, , , 
Fear Factory,Pool,01/28/2014,Day 1,21:00,22:45,Show, , , 
Haggard,Pool,01/29/2014,Day 1,00:00,01:00,Show, , , 
Unearth,Pool,01/29/2014,Day 1,02:00,03:00,Show, , , 
Massacre,Pool,01/29/2014,Day 1,03:45,04:30,Show, , , 
Freedom Call,Lounge,01/28/2014,Day 1,10:45,11:30,Show, , , 
Terrorizer,Lounge,01/28/2014,Day 1,12:15,13:00,Show, , , 
Keep Of Kalessin,Lounge,01/28/2014,Day 1,13:45,14:30,Show, , , 
DRI,Lounge,01/28/2014,Day 1,15:15,16:00,Show, , , 
Novembers Doom,Lounge,01/28/2014,Day 1,16:45,17:30,Show, , , 
Death Angel,Lounge,01/28/2014,Day 1,18:30,19:15,Show, , , 
Cripper,Lounge,01/28/2014,Day 1,20:30,21:15,Show, , , 
Izegrim,Lounge,01/29/2014,Day 1,00:00,00:45,Show, , , 
Victory,Lounge,01/29/2014,Day 2,01:30,02:15,Show, , , 
Rising Storm,Lounge,01/29/2014,Day 2,03:00,03:45,Show, , , 
Cripper,Dining Room,01/28/2014,Day 2,12:00,12:30,Meet and Greet, , , 
Poltergeist,Dining Room,01/28/2014,Day 2,12:00,12:30,Meet and Greet, , , 
Vicious Rumors,Dining Room,01/28/2014,Day 2,12:30,13:30,Meet and Greet, , , 
Xandria,Dining Room,01/28/2014,Day 2,12:30,13:30,Meet and Greet, , , 
Fear Factory,Dining Room,01/28/2014,Day 2,13:00,13:45,Meet and Greet, , , 
Overkill,Dining Room,01/28/2014,Day 2,13:45,14:30,Meet and Greet, , , 
Satyricon,Dining Room,01/28/2014,Day 2,14:30,15:15,Meet and Greet, , , 
Symphony X,Dining Room,01/28/2014,Day 2,15:15,16:05,Meet and Greet, , , 
Carcass,Dining Room,01/28/2014,Day 2,16:00,16:45,Meet and Greet, , , 
Hatesphere,Dining Room,01/28/2014,Day 2,16:45,17:15,Meet and Greet, , , 
Haggard,Dining Room,01/28/2014,Day 2,16:45,17:15,Meet and Greet, , , 
Victory,Dining Room,01/28/2014,Day 2,17:15,17:45,Meet and Greet, , , 
Soilwork,Dining Room,01/28/2014,Day 2,17:15,17:45,Meet and Greet, , , 
Keep Of Kalessin,Dining Room,01/28/2014,Day 2,17:45,18:15,Meet and Greet, , , 
Swashbuckle,Dining Room,01/28/2014,Day 2,17:45,18:15,Meet and Greet, , , 
Gloryhammer,Dining Room,01/28/2014,Day 2,18:15,18:45,Meet and Greet, , , 
Novembers Doom,Dining Room,01/28/2014,Day 2,18:15,18:45,Meet and Greet, , , 
Rising Storm,Dining Room,01/28/2014,Day 2,18:45,19:15,Meet and Greet, , , 
Massacre,Dining Room,01/28/2014,Day 2,18:45,19:15,Meet and Greet, , , 
Freedom Call,Dining Room,01/28/2014,Day 2,19:15,19:45,Meet and Greet, , , 
Obituary,Dining Room,01/28/2014,Day 2,19:15,19:45,Meet and Greet, , , 
Septicflesh,Dining Room,01/28/2014,Day 2,19:45,20:15,Meet and Greet, , , 
Unearth,Dining Room,01/28/2014,Day 2,19:45,20:15,Meet and Greet, , , 
The Haunted,Dining Room,01/28/2014,Day 2,20:15,20:45,Meet and Greet, , , 
Finntroll,Dining Room,01/28/2014,Day 2,20:15,20:45,Meet and Greet, , , 
Izegrim,Dining Room,01/28/2014,Day 2,20:45,21:15,Meet and Greet, , , 
Pungent Stench,Dining Room,01/28/2014,Day 2,20:45,21:15,Meet and Greet, , , 
Orphaned Land,Dining Room,01/28/2014,Day 2,21:15,21:45,Meet and Greet, , , 
Bonfire,Dining Room,01/28/2014,Day 2,21:15,21:45,Meet and Greet, , , 
Dark Tranquillity,Dining Room,01/28/2014,Day 2,21:45,22:15,Meet and Greet, , , 
Death Angel,Dining Room,01/28/2014,Day 2,21:45,22:15,Meet and Greet, , , 
Death To All,Dining Room,01/28/2014,Day 2,22:15,22:45,Meet and Greet, , , 
Cynic,Dining Room,01/28/2014,Day 2,22:15,22:45,Meet and Greet, , , 
DRI,Dining Room,01/28/2014,Day 2,22:45,23:15,Meet and Greet, , , 
Twilight Of The Gods,Dining Room,01/28/2014,Day 2,22:45,23:15,Meet and Greet, , , 
Terrorizer,Dining Room,01/28/2014,Day 2,23:15,23:45,Meet and Greet, , , 
Nekrogoblikon,Dining Room,01/28/2014,Day 2,23:15,23:45,Meet and Greet, , , 
Raven,Dining Room,01/28/2014,Day 2,23:45,00:15,Meet and Greet, , , 
Swallow The Sun,Dining Room,01/28/2014,Day 2,23:45,00:15,Meet and Greet, , , 
Atrocity,Dining Room,01/29/2014,Day 2,00:15,00:45,Meet and Greet, , , 
Leaves Eyes,Dining Room,01/29/2014,Day 2,00:15,00:45,Meet and Greet, , , 
Karaoke,Boleros Lounge,01/29/2014,Day 2,00:00,06:45,Special Event,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,,https://www.dropbox.com/s/41e6hhe4nf4pise/Karaoke70K.png?raw=1
Vika Goes Wild,Centrum,01/28/2014,Day 2,23:00,23:45,Special Event, ,, 
Cynic,Theater,01/29/2014,Day 3,18:30,19:15,Show, , , 
Unearth,Theater,01/29/2014,Day 3,20:15,21:30,Show, , , 
Haggard,Theater,01/29/2014,Day 3,22:15,23:15,Show, , , 
Dark Tranquillity,Theater,01/30/2014,Day 3,00:30,01:30,Show, , , 
Obituary,Pool,01/29/2014,Day 3,17:30,18:30,Show, , , 
Orphaned Land,Pool,01/29/2014,Day 3,19:15,20:15,Show, , , 
Satyricon,Pool,01/29/2014,Day 3,21:15,22:15,Show, , , 
Carcass,Pool,01/29/2014,Day 3,23:15,00:30,Show, , , 
