Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL
Raven,Rink,02/4/16,Thu,17:15,18:00,Show,,,,,
Carach Angren,Lounge,02/4/16,Thu,17:15,18:00,Show,,,,,
Delain,Theater,02/4/16,Thu,18:00,18:45,Show,,,,,
Ancient Rites,Rink,02/4/16,Thu,18:45,19:30,Show,,,,,
Vallenfyre,Lounge,02/4/16,Thu,18:45,19:30,Show,,,,,
Dragonforce,Theater,02/4/16,Thu,19:30,20:30,Show,,,,,
At The Gates,Rink,02/4/16,Thu,20:30,21:30,Show,,,,,
Twilight Force,Lounge,02/4/16,Thu,20:30,21:15,Show,,,,,
Lacuna Coil,Theater,02/4/16,Thu,21:15,22:15,Show,,,,,
Sodom,Rink,02/4/16,Thu,22:15,23:15,Show,,,,,
Belphegor,Lounge,02/4/16,Thu,22:30,23:15,Show,,,,,
Iced Earth,Theater,02/4/16,Thu,23:15,00:30,Show,,,,,
Katatonia,Rink,02/5/16,Thu,00:15,1:15,Show,,,,,
Diamond Head,Lounge,02/5/16,Thu,00:30,1:15,Show,,,,,
Rhapsody of Fire,Theater,02/5/16,Thu,1:15,2:15,Show,,,,,
Tyr,Rink,02/5/16,Thu,2:15,3:00,Show,,,,,
Vader,Lounge,02/5/16,Thu,2:15,3:00,Show,,,,,
Thyrfing,Theater,02/5/16,Thu,3:00,3:45,Show,,,,,
Insomnium,Rink,02/5/16,Thu,3:45,4:30,Show,,,,,
Squealer,Lounge,02/5/16,Thu,3:45,4:30,Show,,,,,
Starkill,Theater,02/5/16,Thu,4:30,5:15,Show,,,,,
Fallujah,Rink,02/5/16,Thu,5:15,6:00,Show,,,,,
Visions of Atlantis,Pool,02/5/16,Fri,10:00,10:45,Show,,,,,
Distillator,Theater,02/5/16,Fri,10:45,11:30,Show,,,,,
Holy Moses,Pool,02/5/16,Fri,11:30,12:15,Show,,,,,
No Raza,Theater,02/5/16,Fri,12:15,13:00,Show,,,,,
Gamma Ray,Pool,02/5/16,Fri,13:00,14:00,Show,,,,,
Susperia,Rink,02/5/16,Fri,13:15,14:00,Show,,,,,
Tsudjer,Theater,02/5/16,Fri,14:00,14:45,Show,,,,,
Subway To Sally,Pool,02/5/16,Fri,14:45,15:45,Show,,,,,
Nervosa,Rink,02/5/16,Fri,14:45,15:30,Show,,,,,
Moonspell,Theater,02/5/16,Fri,15:30,16:30,Show,,,,,
Abinchova,Lounge,02/5/16,Fri,15:45,16:30,Show,,,,,
Hammerfall,Pool,02/5/16,Fri,16:30,17:30,Show,,,,,
Krisiun,Rink,02/5/16,Fri,16:30,17:15,Show,,,,,
Bloodbath,Theater,02/5/16,Fri,17:15,18:15,Show,,,,,
Dead Cross,Lounge,02/5/16,Fri,17:30,18:15,Show,,,,,
My Dying Bride,Pool,02/5/16,Fri,18:15,19:15,Show,,,,,
Jag Panzer,Rink,02/5/16,Fri,18:15,19:00,Show,,,,,
Stratovarius,Theater,02/5/16,Fri,19:00,20:00,Show,,,,,
Dia De Los Muertos,Lounge,02/5/16,Fri,19:15,20:00,Show,,,,,
Epica,Pool,02/5/16,Fri,20:00,21:00,Show,,,,,
Rotting Christ,Rink,02/5/16,Fri,20:00,20:45,Show,,,,,
Eluveitie,Theater,02/5/16,Fri,21:00,22:00,Show,,,,,
Koyi K Utho,Lounge,02/5/16,Fri,21:00,21:45,Show,,,,,
Cradle Of Filth,Pool,02/5/16,Fri,22:00,23:15,Show,,,,,
Manilla Road,Rink,02/5/16,Fri,22:00,22:45,Show,,,,,
Children Of Bodom,Theater,02/5/16,Fri,23:00,00:15,Show,,,,,
Ghoul,Lounge,02/5/16,Fri,23:00,23:45,Show,,,,,
Aura Noir,Rink,02/5/16,Fri,23:45,00:30,Show,,,,,
Paradise Lost,Pool,02/6/16,Fri,00:15,1:15,Show,,,,,
Skalmold,Lounge,02/6/16,Fri,00:30,1:15,Show,,,,,
Samael,Theater,02/6/16,Fri,1:15,2:00,Show,,,,,
Arkona,Rink,02/6/16,Fri,1:15,2:00,Show,,,,,
Turisas,Pool,02/6/16,Fri,2:00,3:00,Show,,,,,
Firewind,Lounge,02/6/16,Fri,2:00,2:45,Show,,,,,
Novembers Doom,Rink,02/6/16,Fri,3:00,3:45,Show,,,,,
Fleshgod Apocalypse,Pool,02/6/16,Fri,3:45,4:30,Show,,,,,
Painful,Rink,02/6/16,Fri,4:30,5:15,Show,,,,,
Incantation,Pool,02/6/16,Fri,5:15,6:00,Show,,,,,
Susperia,Lounge,02/6/16,Sat,16:00,16:45,Show,,,,,
Stratovarius,Pool,02/6/16,Sat,16:30,17:30,Show,,,,,
Belphegor,Rink,02/6/16,Sat,16:45,17:30,Show,,,,,
Visions of Atlantis,Theater,02/6/16,Sat,17:30,18:15,Show,,,,,
Krisiun,Lounge,02/6/16,Sat,17:30,18:15,Show,,,,,
Katatonia,Pool,02/6/16,Sat,18:15,19:15,Show,,,,,
Dead Cross,Rink,02/6/16,Sat,18:15,19:00,Show,,,,,
Gamma Ray,Theater,02/6/16,Sat,19:00,20:00,Show,,,,,
Novembers Doom,Lounge,02/6/16,Sat,19:15,20:00,Show,,,,,
Lacuna Coil,Pool,02/6/16,Sat,20:00,21:00,Show,,,,,
Diamond Head,Rink,02/6/16,Sat,20:15,21:00,Show,,,,,
Paradise Lost,Theater,02/6/16,Sat,21:00,22:00,Show,,,,,
Fleshgod Apocalypse,Lounge,02/6/16,Sat,21:00,21:45,Show,,,,,
Eluveitie,Pool,02/6/16,Sat,21:45,22:45,Show,,,,,
Vader,Rink,02/6/16,Sat,22:15,23:00,Show,,,,,
Epica,Theater,02/6/16,Sat,23:00,00:00,Show,,,,,
Jag Panzer,Lounge,02/6/16,Sat,23:00,23:45,Show,,,,,
Children Of Bodom,Pool,02/6/16,Sat,23:45,1:00,Show,,,,,
Firewind,Rink,02/7/16,Sat,00:00,00:45,Show,,,,,
Hammerfall,Theater,02/7/16,Sat,1:00,2:00,Show,,,,,
Incantation,Lounge,02/7/16,Sat,00:45,1:30,Show,,,,,
Holy Moses,Rink,02/7/16,Sat,1:30,2:15,Show,,,,,
At The Gates,Pool,02/7/16,Sat,2:00,3:00,Show,,,,,
Starkill,Lounge,02/7/16,Sat,2:15,3:00,Show,,,,,
Ghoul,Rink,02/7/16,Sat,3:00,3:45,Show,,,,,
Tyr,Pool,02/7/16,Sat,3:45,4:30,Show,,,,,
No Raza,Rink,02/7/16,Sat,4:30,5:15,Show,,,,,
Carach Angren,Pool,02/7/16,Sat,5:15,6:00,Show,,,,,
Arkona,Theater,02/6/16,Sat,16:00,16:45,Show,,,,,
Twilight Force,Pool,02/7/16,Sun,10:00,10:45,Show,,,,,
Dia De Los Muertos,Theater,02/7/16,Sun,10:45,11:30,Show,,,,,
Visions of Atlantis,Rink,02/7/16,Sun,11:15,12:00,Show,,,,,
Rotting Christ,Pool,02/7/16,Sun,11:30,12:15,Show,,,,,
Belly Flop Contest,Solarium,02/7/16,Sun,12:30,13:00,Special Event,,,,,
Squealer,Theater,02/7/16,Sun,12:15,13:00,Show,,,,,
Raven,Pool,02/7/16,Sun,13:15,14:00,Show,,,,,
Abinchova,Rink,02/7/16,Sun,12:45,13:30,Show,,,,,
Fallujah,Theater,02/7/16,Sun,13:45,14:30,Show,,,,,
Vallenfyre,Rink,02/7/16,Sun,14:15,15:00,Show,,,,,
Rhapsody of Fire,Pool,02/7/16,Sun,14:45,15:45,Show,,,,,
Painful,Lounge,02/7/16,Sun,15:00,15:45,Show,,,,,
Jamming With Waters,Theater,02/7/16,Sun,15:15,16:45,Show,,,,,
Skalmold,Rink,02/7/16,Sun,15:45,16:30,Show,,,,,
Manilla Road,Lounge,02/7/16,Sun,16:30,17:15,Show,,,,,
Sodom,Pool,02/7/16,Sun,16:30,17:30,Show,,,,,
Tsudjer,Rink,02/7/16,Sun,17:15,18:00,Show,,,,,
