Band,URL
Aborted,https://www.dropbox.com/s/dmb0dmftn3729ny/aborted.txt?dl=1
Aeternam,https://www.dropbox.com/s/3gksyst0i9sxssh/Aeternam.txt?dl=1
Aether Realm,https://www.dropbox.com/s/sc16fp3ndvl2epa/aether%20realm.txt?dl=1
Archon Angel,https://www.dropbox.com/s/kjgics86lppoycn/archon%20angel.txt?dl=1
At The Gates,https://www.dropbox.com/s/0k6rn36n0etjhbq/at%20the%20gates.txt?dl=1
Atheist,https://www.dropbox.com/s/aby6d9900k8mjx2/atheist.txt?dl=1
Axxis,https://www.dropbox.com/s/0slymrqlqyp776s/axxis.txt?dl=1
Bloodbound,https://www.dropbox.com/s/2lzzft0a4xdr21w/bloodbound.txt?dl=1
Brujeria,https://www.dropbox.com/s/658kxct5vb8ocdo/brujeria.txt?dl=1
Candlemass,https://www.dropbox.com/s/agdw9kxsvejzhv0/Candlemass.txt?dl=1
Carach Angren,https://www.dropbox.com/s/kl1xpurw4rrs81h/carach%20angren.txt?dl=1
Cattle Decapitation,https://www.dropbox.com/s/wbke0vta8k8vclm/cattle%20decapitation.txt?dl=1
Cruachan,https://www.dropbox.com/s/k5u0uehgtkxcxmw/cruachan.txt?dl=1
Dark Matter,https://www.dropbox.com/s/oidi8ndi0r52grk/dark%20matter.txt?dl=1
Devin Townsend,https://www.dropbox.com/s/h7xjdkwgt8ej7n9/Devin%20Townsend.txt?dl=1
Edenbridge,https://www.dropbox.com/s/2krve5dapenj2t9/edenbridge.txt?dl=1
Einherjer,https://www.dropbox.com/s/2bnz5lhqhpm3r56/einherjer.txt?dl=1
Emperor,https://www.dropbox.com/s/91yvpm06c9kn5l7/Emperor.txt?dl=1
Epica,https://www.dropbox.com/s/zuac1m09ruzcpel/epica.txt?dl=1
Ereb Altor,https://www.dropbox.com/s/0912w06pqwibf41/ereb%20altor.txt?dl=1
Exodus,https://www.dropbox.com/s/hydb5ph5i5tj7y7/exodus.txt?dl=1
Flotsam And Jetsam,https://www.dropbox.com/s/o4hwu7iqaruhta2/flotsam%20and%20jetsam.txt?dl=1
Finntroll,https://www.dropbox.com/s/1t606f28b42puf9/finntroll.txt?dl=1
Firstbourne,https://www.dropbox.com/s/6wr4paeax4msnfk/firstbourne.txt?dl=1
Ghost Ship Octavius,https://www.dropbox.com/s/mjv8et2pjhhnkbz/ghost%20ship%20octavius.txt?dl=1
Grave Digger,https://www.dropbox.com/s/lskw342ku8vqaxe/grave%20digger.txt?dl=1
Haggard,https://www.dropbox.com/s/u3paarrk8nppkn3/Haggard.txt?dl=1
Havok,https://www.dropbox.com/s/8k2uriuag47cah5/havok.txt?dl=1
Ihsahn,https://www.dropbox.com/s/xhcy88r8n6yxizy/ihsahn.txt?dl=1
Incantation,https://www.dropbox.com/s/gqy2bybqmd6pmyp/incantation.txt?dl=1
Kampfar,https://www.dropbox.com/s/ilobu47rhxg3h57/kampfar.txt?dl=1
Kissin Dynamite,https://www.dropbox.com/s/9sxwdk7ivle6nxt/kissin%20dynamite.txt?dl=1
Leaves Eyes,https://www.dropbox.com/s/6eg5mpuio9lea08/leaves%20eyes.txt?dl=1
Michael Schenker Fest,https://www.dropbox.com/s/38jkq1mrihlxyja/michael%20schenker%20fest.txt?dl=1
Moonsorrow,https://www.dropbox.com/s/7pk8cuqtcfsr7kv/Moonsorrow.txt?dl=1
No Raza,https://www.dropbox.com/s/jg69i69w7d07spm/no%20raza.txt?dl=1
Novembers Doom,https://www.dropbox.com/s/23tqfoa57xomzbh/novembers%20doom.txt?dl=1
Omnium Gatherum,https://www.dropbox.com/s/bjevkda7bmekyzr/omnium%20gatherum.txt?dl=1
Once Human,https://www.dropbox.com/s/5y808axzhp9p3fq/once%20human.txt?dl=1
Origin,https://www.dropbox.com/s/hoawj4pqdjfrzdk/origin.txt?dl=1
Orphaned Land,https://www.dropbox.com/s/gm6rwnv6rv7zyi8/orphaned%20land.txt?dl=1
Possessed,https://www.dropbox.com/s/rj9yj8j5k89o8b3/possessed.txt?dl=1
Ross The Boss,https://www.dropbox.com/s/hbd4xcro4e4nifs/ross%20the%20boss.txt?dl=1
Seven Witches,https://www.dropbox.com/s/14v6jt3q5nunnc9/seven%20witches.txt?dl=1
Soen,https://www.dropbox.com/s/ct0dry318cqu1e9/soen.txt?dl=1
Soilwork,https://www.dropbox.com/s/wah0q3h099c9wa3/soilwork.txt?dl=1
Sortilege,https://www.dropbox.com/s/d2jn6akk87dda8j/sortilege.txt?dl=1
Spoil Engine,https://www.dropbox.com/s/n2slq2dxkqfup0e/spoil%20engine.txt?dl=1
Stam1na,https://www.dropbox.com/s/4h9yqk16e4fnxi5/stam1na.txt?dl=1
Striker,https://www.dropbox.com/s/lo33sh95v8em6u0/striker.txt?dl=1
Suffocation,https://www.dropbox.com/s/5gdkg562w8yw8fn/suffocation.txt?dl=1
The Agonist,https://www.dropbox.com/s/pigw3j0dx60jkvu/the%20agonist.txt?dl=1
The Faceless,https://www.dropbox.com/s/jkg2gd5zxu0dq8e/the%20faceless.txt?dl=1
Toxik,https://www.dropbox.com/s/vdfcyrzxk10kdd7/toxik.txt?dl=1
Trollfest,https://www.dropbox.com/s/wjyhg2vkhv5ie9q/trollfest.txt?dl=1
Venom,https://www.dropbox.com/s/5ulvzdfafft32i0/venom.txt?dl=1
Vio-Lence,https://www.dropbox.com/s/16mhpf2x2autmvz/vio-lence.txt?dl=1
Whiplash,https://www.dropbox.com/s/bsfzbojy0yy5s97/whiplash.txt?dl=1
Wilderun,https://www.dropbox.com/s/b13tlggosyj1qxv/wilderun.txt?dl=1
Wintersun,https://www.dropbox.com/s/vbv4kwsgf3ds2mw/wintersun.txt?dl=1
Without Waves,https://www.dropbox.com/s/hb0hwav1q6zxype/without%20waves.txt?dl=1
Zero Theorem,https://www.dropbox.com/s/uf90u3n4utmz5q8/zero%20theorem.txt?dl=1
