Band,URL,Date
Amorphis,https://www.dropbox.com/scl/fi/diqcqbxqps2ohlwi4hfbc/Amorphis.txt?rlkey=2mn7feq6v1gyss88bq49t1vox&st=fat4z9gl&raw=1,07-14-2025
Beast In Black,https://www.dropbox.com/scl/fi/7tv6dullyareobj1f0owb/Beast-In-Black.txt?rlkey=8e4fetaqv9tin2zfcin33g7bm&st=khu24qhn&raw=1,07-16-2025
Dark Tranquillity,https://www.dropbox.com/scl/fi/9fy2iaovytwlxnd1q3br3/Dark-Tranquillity.txt?rlkey=bdh4nee13gmwja11cepval7zx&st=ekg0d08g&raw=1,07-16-2025
Dodheimsgard,https://www.dropbox.com/scl/fi/e235mcymvzjwropjbtbhc/Dodheimsgard.txt?rlkey=bvoct1klqar4bs107omk3wz9h&st=bgz4ekpo&raw=1,07-17-2025
Eluveitie,https://www.dropbox.com/scl/fi/rywbw41kx05ih8v0t1imy/Eluveitie.txt?rlkey=6nku1glhmizhi220pqj8r3vfj&st=c23mcmd1&raw=1,07-18-2025
Ereb Altor,https://www.dropbox.com/scl/fi/7upf8e25uye3nojmhpzqj/Ereb-Altor.txt?rlkey=t19qgeb6tg4wy9mnbfd8o00i3&st=7m2fqyrm&raw=1,07-19-2025
Firewind,https://www.dropbox.com/scl/fi/9eep083jfgr08z39r4i9l/Firewind.txt?rlkey=my5paae6i5hkkkq7koat65j4y&st=3qtnma2n&raw=1,07-20-2025
Gama Bomb,https://www.dropbox.com/scl/fi/1z1e9zci4wrtlgw9isva5/Gama-Bomb.txt?rlkey=ax8aj1s4x69zif7qf2u4thoz7&st=g2lbzuc1&raw=1,07-21-2025
Groza,https://www.dropbox.com/scl/fi/90lasbvsvtsy8odfk0on7/Groza.txt?rlkey=ejbk3x10hkcpuki0wumevgz2g&st=a2h6cr59&raw=1,07-22-2025
Haggard,https://www.dropbox.com/scl/fi/q7y51vug04u63ok04g8xp/Haggard.txt?rlkey=q2xodhgu1gowozirh47v2g3tq&st=dlethnxp&raw=1,07-23-2025
