Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL,ImageDate
Fleshgod Apocalypse,Rink,04/18/2026,Day 1,00:45,01:30,Show,,,,
Amorphis,Theater,04/18/2026,Day 1,01:15,2:15,Show,,,,
Seven Kingdoms,Lounge,04/18/2026,Day 1,02:15,03:00,Show,,,,
Arcturus,Theater,04/18/2026,Day 1,03:00,03:45,Show,,,,
Avulsed,Rink,04/18/2026,Day 1,03:45,04:30,Show,,,,
Vision Divine,Theater,04/18/2026,Day 1,04:30,05:15,Show,,,,
Vitam Et Mortem,Rink,04/18/2026,Day 1,05:15,6:00,Show,,,,
QA Morning Slot,Lounge,04/18/2026,Day 1,09:40,10:25,Show,,,,
Strike Master,Lounge,04/18/2026,Day 1,19:00,19:45,Show,,,,
Gama Bomb,Lounge,04/18/2026,Day 1,20:30,21:15,Show,,,,
Cemetery Skyline,Rink,04/18/2026,Day 1,20:30,21:15,Show,,,,
Hammerfall,Theater,04/18/2026,Day 1,21:15,22:15,Show,,,,
Reaping Asmodeia,Lounge,04/18/2026,Day 1,22:15,23:00,Show,,,,
Anthrax,Theater,04/18/2026,Day 1,23:15,00:30,Show,,,,
Cemetery Skyline,Theater,04/19/2026,Day 1,01:15,2:00,Show,,,,
Suffocation,Rink,04/19/2026,Day 1,01:30,02:15,Show,,,,
Vitam Et Mortem,Lounge,04/19/2026,Day 1,02:00,2:45,Show,,,,
Wind Rose,Pool,04/19/2026,Day 1,02:00,02:45,Show,,,,
Mystic Prophecy,Theater,04/19/2026,Day 1,02:45,03:30,Show,,,,
Metsatoll,Lounge,04/19/2026,Day 1,03:00,03:45,Show,,,,
Samael,Pool,04/19/2026,Day 1,03:45,04:30,Show,,Passage,,
T.H.E.M,Rink,04/19/2026,Day 1,04:15,5:00,Show,,,,
Matalobos,Lounge,04/19/2026,Day 1,04:30,05:15,Show,,,,
Before The Dawn,Pool,04/19/2026,Day 1,05:00,05:45,Show,,,,
Bloodred Hourglass,Rink,04/19/2026,Day 1,05:00,5:45,Show,,,,
Abysmal Dawn,Theater,04/19/2026,Day 1,05:15,06:00,Show,,,,
Ex Deo,Pool,04/19/2026,Day 2,9:40,10:15,Show,,,,
Lich King,Pool,04/19/2026,Day 2,11:30,12:15,Show,,,,
Scar Symmetry,Pool,04/19/2026,Day 2,13:00,13:45,Show,,,,
Majestica,Theater,04/19/2026,Day 2,13:45,14:30,Show,,,,
Victory,Pool,04/19/2026,Day 2,14:30,15:15,Show,,Culture Killed The Native Set,,
Super Monster Party,Rink,04/19/2026,Day 2,14:30,15:15,Show,,,,
Iotunn,Lounge,04/19/2026,Day 2,15:15,16:00,Show,,,,
Warfield,Rink,04/19/2026,Day 2,15:15,16:00,Show,,,,
Threshold,Theater,04/19/2026,Day 2,15:15,16:00,Show,,,,
Finntroll,Pool,04/19/2026,Day 2,16:00,17:00,Show,,,,
Grave Digger,Theater,04/19/2026,Day 2,17:00,18:00,Show,,,,
Shores of Null,Lounge,04/19/2026,Day 2,17:15,18:00,Show,,,,
Dirkschneider,Pool,04/19/2026,Day 2,18:00,19:00,Show,,,,
Unleashed,Rink,04/19/2026,Day 2,18:00,19:00,Show,,,,
Persefone,Lounge,04/19/2026,Day 2,18:15,19:00,Show,,,,
Incantation,Theater,04/19/2026,Day 2,18:00,18:45,Show,,,,
Amorphis,Pool,04/19/2026,Day 2,19:00,20:00,Show,,,,
Angra,Theater,04/19/2026,Day 2,19:00,20:00,Show,,,,
