Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL,ImageDate
Mon-Decades Of Metal,Clevelander,03/17/2026,1/17,15:00,02:00,Unofficial Event,,,https://www.dropbox.com/scl/fi/ilkh1c2820unllmpfoeo4/DecadesOfMetal.jpeg?rlkey=haa6p3qjdgeo3lo0hjf9owzxy&raw=1,12-7/2025
Tue-Everglades Tour,Clevelander,03/18/2026,1/18,11:00,16:00,Unofficial Event,,,https://www.dropbox.com/scl/fi/b5tae9douacq8pzl5a8y8/MetalBeachParty.jpg?rlkey=hozqk6tjz28xhy2j0en8tiwxf&raw=1,12-7/2025
Tue-Live Bands!,Clevelander,03/18/2026,1/18,18:00,02:00,Unofficial Event,,,https://www.dropbox.com/scl/fi/5tx47punynl17avztd8nz/Flyer2026-fixed.png?rlkey=gnn2z64onyuywvbcvoyl86251&raw=1,12-7/2025
Wed-Metal Yoga,South Beach,03/19/2026,1/19,11:00,12:00,Unofficial Event,,,https://www.dropbox.com/scl/fi/4zwc2k9lyoe0rgw7xm39z/Yoga.JPG?rlkey=k5emqgnujfiv6ael46xbw624m&raw=1,12-7/2025
Wed-Beach Party!,South Beach,03/19/2026,1/19,13:00,18:00,Unofficial Event,,,https://www.dropbox.com/scl/fi/327vurfj8tds0ntt2j79d/BeachPartyPic.jpeg?rlkey=dg9b7y3u6sa8hplelyi2btb5e&raw=1,12-7/2025
Thu-Metal Bus to Port,Clevelander,03/20/2026,Day 1,9:30,12:45,Unofficial Event,,,https://www.dropbox.com/scl/fi/b1wcrjoc9xm1dy4kr0yyc/partyBus.png?rlkey=7shhq54xoiuo02jjccck4hpja&raw=1,12-7/2025
Amorphis,Theater,03/20/2026,Day 1,01:15,2:15,Show,,,,
Vitam Et Mortem,Rink,03/20/2026,Day 1,05:15,6:00,Show,,,,
Strike Master,Lounge,03/20/2026,Day 1,19:00,19:45,Show,,,,
Cemetery Skyline,Rink,03/20/2026,Day 1,20:30,21:15,Show,,,,
Gama Bomb,Lounge,03/20/2026,Day 1,20:30,21:15,Show,,,,
Anthrax,Theater,03/20/2026,Day 1,23:15,00:30,Show,,,,
Cemetery Skyline,Theater,03/21/2026,Day 2,01:15,2:00,Show,,,,
Vitam Et Mortem,Lounge,03/21/2026,Day 2,02:00,2:45,Show,,,,
T.H.E.M,Rink,03/21/2026,Day 2,04:15,5:00,Show,,,,
Bloodred Hourglass,Pool,03/21/2026,Day 2,05:00,5:45,Show,,,,
Persefone,Lounge,03/21/2026,Day 2,18:15,19:00,Show,,,,
Amorphis,Pool,03/21/2026,Day 2,19:00,20:00,Show,,,,
Ereb Altor,Rink,03/21/2026,Day 2,20:45,21:30,Show,,,,
Skeletal Remains,Lounge,03/21/2026,Day 2,21:30,22:15,Show,,,,
Haggard,Theater,03/21/2026,Day 2,21:45,22:45,Show,,,,
Firewind,Theater,03/21/2026,Day 2,23:45,00:30,Show,,,,
Wind Rose,Pool,03/22/2026,Day 3,00:00,1:00,Show,,,,
Skeletal Remains,Rink,03/22/2026,Day 3,04:15,5:00,Show,,,,
Darkane,Theater,03/22/2026,Day 3,10:45,11:30,Show,,,,
Minipony,Rink,03/22/2026,Day 3,13:00,13:45,Show,,,,
Satan,Rink,03/22/2026,Day 3,14:30,15:15,Show,,,,
Ereb Altor,Lounge,03/22/2026,Day 3,15:15,16:00,Show,,,,
Firewind,Pool,03/22/2026,Day 3,16:00,16:45,Show,,,,
T.H.E.M,Lounge,03/22/2026,Day 3,16:45,17:30,Show,,,,
Haggard,Pool,03/22/2026,Day 3,17:45,18:45,Show,,,,
